Item_Fatura,Empresa,Centro,Data_Criacao,Fornecedor,Nome_Fornecedor,Doc_Compras,Item,Material,Descricao_Material,Referencia,Quantidade,Preço_Contrato,Preço_Fatura,Montante,Item_Contrato,Data_Emissao,Valor_NF_c/_Imposto,Valor_NF_s/_Imposto,ICMS,PIS,COFINS,ICMS_Diferido,IPI
1,483,FAS,23/5/2025,101517,FORNECEDOR,4508699392,10,484005466R,PEÇA,000840286-1,"40,000","297,57","327,90","1.213,20",90,21/5/2025,"R$ 372,61","R$ 297,56",12.0,"1,65","7,6",não,nan
1,483,FAS,5/4/2025,101517,FORNECEDOR,4508614705,10,484005466R,PEÇA,835208-1,"360,000","297,57","327,90","10.918,80",90,3/4/2025,"R$ 372,61","R$ 297,56",12.0,"1,65","7,6",não,nan
1,483,FAS,19/4/2025,101517,FORNECEDOR,4508632784,10,484005466R,PEÇA,836216-1,"440,000","297,57","327,90","13.345,20",90,10/4/2025,"R$ 372,61","R$ 297,56",12.0,"1,65","7,6",não,nan
1,483,FAS,28/4/2025,101517,FORNECEDOR,4508653530,10,484005466R,PEÇA,837425-1,"360,000","297,57","327,90","10.918,80",90,24/4/2025,"R$ 372,61","R$ 297,56",12.0,"1,65","7,6",não,nan
1,483,FAS,3/5/2025,101517,FORNECEDOR,4508661912,10,484005466R,PEÇA,838047-1,"360,000","297,57","327,90","10.918,80",90,30/4/2025,"R$ 372,61","R$ 297,56",12.0,"1,65","7,6",não,nan
1,483,FAS,13/5/2025,101517,FORNECEDOR,4508678910,10,484005466R,PEÇA,838730-1,"120,000","297,57","327,90","3.639,60",90,8/5/2025,"R$ 372,61","R$ 297,56",12.0,"1,65","7,6",não,nan
1,483,FAS,23/5/2025,101517,FORNECEDOR,4508697198,10,484005920R,PEÇA,000840128-1,"80,000","186,96","206,02","1.524,80",180,20/5/2025,"R$ 234,11","R$ 186,96",12.0,"1,65","7,6",não,nan
1,483,FAS,23/5/2025,101517,FORNECEDOR,4508697199,10,484005920R,PEÇA,000840148-1,"40,000","186,96","206,02","762,40",180,20/5/2025,"R$ 234,11","R$ 186,96",12.0,"1,65","7,6",não,nan
2,483,FAS,23/5/2025,101517,FORNECEDOR,4508699392,20,484005920R,PEÇA,000840286-1,"24,000","186,96","206,02","457,44",180,21/5/2025,"R$ 234,11","R$ 186,96",12.0,"1,65","7,6",não,nan
2,483,FAS,19/4/2025,101517,FORNECEDOR,4508632784,20,484005920R,PEÇA,836216-1,"40,000","186,96","206,02","762,40",180,10/4/2025,"R$ 234,11","R$ 186,96",12.0,"1,65","7,6",não,nan
